Membership No  Date Joined  Active  
    10940      2017-9-17    no    
    18160      2018-7-3     no    
    91488      2015-12-7    no    
    46212      2019-11-11   no    
    48949      2020-12-13   no    
    29390      2016-12-2    no    
    41141      2019-11-17   no    
    19061      2018-4-2     no    
    82113      2017-12-12   no    
    85101      2015-6-6     no    
    73323      2018-8-16    no    
    78523      2018-9-23    no    
    16120      2019-10-10   no    
    32920      2017-1-20    no    
    60248      2020-12-5    no    
    38805      2020-9-2     no    
